continent,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08
Asia,27,27,27,44,44,59,59,59,59,59,59,59,59,60,60,61,61,66,83,219,239,391,533,630,894,1342,2011,2805,4570,6045,7797,9788,11898,14500,17313,20552,24446,28185,31355,34787,37404,40385,42879,44910,60058,64224,66782,68810,70876,72772,74548,75001,75980,77028,77973,78386,79061,79817,80803,81723,83248,84653,85981,87081,88621,89855,91307,93177,94849,95926,96799,98356,99891,100930,102996,104982,106911,108733,110671,112757,115151,117679,120651,123350,126550,130666,135257,140615,147627,154956,162037,169632,177395,185789,194658,200922,213058,223342,232649,242159,251630,261776,272783,285691,297141,308765,319831,331111,344023,355780,368033,380274,394375,407627,419087,432556,445614,458031,469451,480534,492202,504892,517896,531235,543361,556021,570474,584677,600969,616562,632466,648617,665995,681358,699817,717893,736426,756447,776221,797239,817905,839332,861969,886199,909998,934806,958121,980229,1001005,1023822,1050203,1078828,1106525,1135138,1163187,1193786,1226520,1258713,1292220,1325740,1359488,1392109,1426226,1461521,1499737,1538953,1577932,1615546,1652125,1690389,1731159,1772666,1812841,1856652,1896392,1936055,1978217,2022161,2066771,2112801,2159160,2205393,2249026,2314503,2362882,2413760,2465937,2519525,2569075,2621653,2671079
Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,10,17,23,24,25,28,28,28,30,36,37,38,42,44,45,45,45,45,46,46,46,46,46,60,122,179,277,384,485,829,1140,1540,2271,2774,3521,4503,6079,8108,10265,13083,16616,19953,25638,32910,40379,49649,58964,69630,82020,96240,118675,140881,163096,183617,211274,237403,267849,302969,338806,370444,398443,429779,466027,502368,536290,573679,605996,633397,662234,691261,724891,759696,794352,827409,852611,876711,907583,936416,966929,996188,1021322,1047031,1072250,1098680,1125843,1151504,1179403,1203562,1225318,1246052,1266555,1288772,1312180,1337465,1360511,1382587,1404869,1428087,1457878,1484240,1508707,1533467,1553996,1575871,1597841,1618512,1639783,1660885,1679979,1698024,1714825,1732637,1747523,1766211,1784689,1802356,1817103,1832806,1850852,1866907,1886677,1904219,1920662,1936200,1951029,1965386,1982423,1999642,2016632,2032443,2047742,2063016,2078671,2093863,2110878,2128109,2144735,2160245,2174469,2190030,2206370,2222739,2237956,2252850,2266167,2282204,2298413,2312361,2327585,2344380,2356926,2369288,2385058,2399082,2412853,2396902,2411246,2422423,2435847,2449886,2209881
North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,7,8,8,9,11,12,15,15,16,17,19,19,19,19,20,20,21,22,23,23,23,23,23,23,25,44,44,44,64,64,71,74,84,93,119,131,155,192,278,392,490,628,846,1138,1469,1878,2466,3327,4244,5320,7281,10482,15602,21259,28946,37796,49451,58809,74578,92418,112263,133502,153276,176298,203086,231942,262944,297313,333532,361291,393633,426275,462023,498418,536376,566898,596609,623701,652749,685363,719801,753733,789212,816784,848062,888043,909018,939106,964098,1015677,1045581,1070975,1098495,1129050,1162791,1200847,1234249,1264121,1290176,1317038,1345184,1377768,1409039,1438858,1462835,1484100,1510045,1534725,1566219,1596435,1624980,1648127,1674454,1699389,1726726,1757298,1787121,1814410,1840050,1864377,1889291,1913850,1941433,1972598,2001399,2026744,2052775,2079574,2105345,2133484,2165367,2194220,2222397,2246614,2271804,2300218,2330738,2364566,2396869,2423164,2449066,2480051,2513793,2550420,2588694,2631679,2666038,2705237,2749712,2792699,2843767,2897800,2948893,2995590,3044930,3098548,3160371,3225268,3291470,3348505,3407602,3467446,3535313
South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,9,4,16,27,28,23,68,65,103,103,173,269,343,496,680,891,1206,1685,2386,3002,3890,4686,5468,6409,7410,8661,9828,10835,11896,13900,16367,18423,20557,22803,24904,26736,29650,34554,38616,44109,47099,49883,51702,57123,62154,66458,71749,77026,81416,85431,90338,95759,102400,107561,117981,135876,143181,153152,163596,175773,188584,198890,210809,222734,235770,249099,265984,280560,296748,308666,318046,334447,353967,376057,399884,423349,438696,458646,486031,516928,546165,576608,603236,629550,652511,680683,714958,754948,794577,842712,875489,901270,936885,983081,1025342,1068967,1109817,1142627,1169049,1212878,1260633,1304924,1350334,1387856,1421035,1454619,1503420,1580426,1615788,1689096,1738044,1770671,1802532,1855965,1916615,1972652,2033208,2091570,2134683,2174587,2221657,2284006,2347550,2405701,2456934,2498340,2531877,2592018
Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,6,3,5,15,27,17,2,74,66,67,108,150,191,239,323,402,494,631,742,972,1172,1384,1733,2198,2675,3261,3783,4089,4593,5095,5583,6204,6836,7460,8392,9127,9754,10475,11396,12230,12901,13612,14465,15229,16219,17172,18257,19821,20975,22217,23177,24524,25584,27116,28962,30195,31623,33035,34799,36598,38704,40608,42617,44271,46945,49029,51491,53913,57628,60343,63082,66200,69020,72044,74982,77716,80706,84011,87272,90541,94099,98932,102730,107169,110927,114782,118699,123337,128069,133909,140368,145738,151170,156132,160841,168452,175810,182171,188139,195060,201605,208028,215263,223803,232087,241361,249485,256915,265406,273719,283714,294612,304123,313294,322365,331652,345706,356961,369142,380398,391094,402511,415616,429990,444736,460572,475204,480914,505802
Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,6,7,9,11,11,11,12,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,17,21,22,22,22,22,23,24,26,27,30,33,43,55,63,68,74,80,100,112,126,156,203,257,298,375,474,599,764,960,1203,1865,2029,2684,3143,3604,3896,4395,4757,5324,5488,5843,6147,6537,6731,6847,6981,7136,7266,7392,7501,7569,7619,7674,7733,7781,7828,7874,7931,7964,7981,8009,8018,8036,8060,8080,8092,8109,8125,8136,8156,8163,8183,8203,8227,8254,8284,8307,8326,8344,8359,8370,8386,8397,8414,8444,8464,8473,8492,8500,8523,8526,8540,8552,8555,8564,8582,8590,8603,8626,8639,8651,8661,8681,8692,8705,8716,8721,8726,8733,8738,8749,8758,8766,8778,8796,8814,8828,8856,8885,8905,8956,8984,9002,9022,9060,9115,9157,9207,9259,9344,9421,9522,9610,9866,9976,10076,10219,10389
